,N,p_left,p_right
1644126222800.0,3,0.6666666666666666,0.3333333333333333
1644126322800.0,5,0.6,0.4
1644127267600.0,1,1.0,0.0
1644127524700.0,2,0.0,1.0
1644127650500.0,2,1.0,0.0
1644128004600.0,1,1.0,0.0
1644128104600.0,8,0.75,0.25
1644129011100.0,1,1.0,0.0
1644129381000.0,2,1.0,0.0
1644129481000.0,2,1.0,0.0
1644129581000.0,3,1.0,0.0
1644130823800.0,1,1.0,0.0
1644131142200.0,1,1.0,0.0
1644131242200.0,1,1.0,0.0
1644131342200.0,5,1.0,0.0
1644131442200.0,2,1.0,0.0
1644131648600.0,5,1.0,0.0
1644131748600.0,4,1.0,0.0
1644132924400.0,1,1.0,0.0
1644133024400.0,2,1.0,0.0
1644133445800.0,1,1.0,0.0
1644133625800.0,2,1.0,0.0
1644134092100.0,2,1.0,0.0
1644134192100.0,3,0.0,1.0
1644134406000.0,1,1.0,0.0
1644134724900.0,1,1.0,0.0
1644134859600.0,15,0.9333333333333333,0.06666666666666667
1644135216000.0,5,0.8,0.2
1644135316000.0,3,0.6666666666666666,0.3333333333333333
1644135689200.0,1,1.0,0.0
1644136099200.0,1,0.0,1.0
1644136199200.0,1,0.0,1.0
1644136299200.0,2,0.5,0.5
1644136399200.0,2,0.5,0.5
1644136499200.0,2,0.5,0.5
1644136599200.0,4,0.75,0.25
1644137138600.0,2,1.0,0.0
1644137276300.0,4,0.5,0.5
1644137376300.0,3,1.0,0.0
1644137476300.0,4,1.0,0.0
1644137697300.0,3,1.0,0.0
1644137797300.0,4,1.0,0.0
1644137897300.0,5,1.0,0.0
1644188400000.0,6,0.0,1.0
1644188618900.0,4,0.75,0.25
1644188718900.0,7,0.8571428571428571,0.14285714285714285
1644188866200.0,8,0.75,0.25
1644190388300.0,1,0.0,1.0
1644191738400.0,1,0.0,1.0
1644192017200.0,2,0.0,1.0
1644206316900.0,1,0.0,1.0
1644207152000.0,1,1.0,0.0
1644207346300.0,3,1.0,0.0
1644208136800.0,2,1.0,0.0
1644209606700.0,1,1.0,0.0
1644209804900.0,1,1.0,0.0
1644209904900.0,3,1.0,0.0
1644210000000.0,14,0.5714285714285714,0.42857142857142855
1644210598900.0,2,1.0,0.0
1644210698900.0,2,1.0,0.0
1644210798900.0,2,1.0,0.0
1644210898900.0,11,0.9090909090909091,0.09090909090909091
1644211144500.0,2,0.5,0.5
1644211244500.0,1,1.0,0.0
1644211354400.0,4,1.0,0.0
1644211454400.0,12,0.75,0.25
1644211554400.0,13,0.7692307692307693,0.23076923076923078
1644211654400.0,19,0.7368421052631579,0.2631578947368421
1644211754400.0,26,0.8076923076923077,0.19230769230769232
1644211854400.0,36,0.8611111111111112,0.1388888888888889
1644212229400.0,1,0.0,1.0
1644212466500.0,3,1.0,0.0
1644212566500.0,4,1.0,0.0
1644212849000.0,3,1.0,0.0
1644213047100.0,4,1.0,0.0
1644213147100.0,5,1.0,0.0
